text,label,notes
What should I do next? This is easily the best Pokemon game I’ve ever played. The QoL features are amazing. The vast Pokédex to choose from. The story! (I miss you dad…) the elite 4 weren’t THAT bad. Mole Man was the only difficult one for me. I’m not ready to give up this game. WHAT DO I DO NEXT?!,discussion,
"900 streak in Battle Tower (Standard Single Format). I'm close to 1000 streak again (I said again because I reached 1000 streak before but I got disqualified because I wasn't able to save before leaving the game and my save state was so far back so I just prefer restarting over) I used all my favorite Pokemon to win especially Mega Salamence is my No. 1 favorite Pokemon of all time and my ace Pokemon And also this is still not my final team since I am still deciding what my dream team actually is if I was in a Pokemon world all I know is that Salamence and Garchomp is a must in this team since they are my top favorite In short I'm using my team of favorites lmao There are times I use Forretress since its also my favorite Pokemon and was an amazing hazard setter But if I'm going to give you a tip in Battle Frontier use Prankster Pokemon with Taunt because majority of the time the opponents lead is either setting stats boost or hazard set up I use my favorite Gen 3 Pokemon Sableye to cripple physical attacker with Will-O-Wisp after Taunting them, I use Thundurus for my 2nd Prankster Pokemon because crippling their speed with Thunder Wave is a game changer and as well as a priority defog. But Blaziken Swords Dance and Speed Boost Baton Pass carries my streak just imagine how scary passing a +2 Physical Attack and Speed on Mega Salamence, the moment you succeed on those strat its basically game over unless you face a prankster user with Will-O-Wisp or Thunder Wave or Pokemon with Unaware but even then it still hit like a truck I got Garchomp as my fast stealth rock Pokemon though I have Foretress before as my main hazard setter I'm still undecided whether to switch it with Alolan Ninetales. But regardless Garchomp is kinda my second sweeper it is also absolutely monstrous even after 1 swords dance and if you managed to succeed with scale shot speed boost then it's game over unless your opponent has air balloon or levitate I also run Groundium Z on him, but most of the time I just use him to set up stealth rocks.",achievements,
"After many attempts at the E4 I did it. I did it. The first fan made game I actually didn't get bored and finished. Now to redo it with a better optimised team, I love this game that you have to switch up your team depending on the gyms you're facing. Now to increase the difficulty.",achievements,
"How is my max EV/IV Sneasel getting outspeed by the third gym's Gliscor and Dodrio? I'm currently in the third gym Alice and I trained this Sneasel just to beat Gliscor, but to my absolute surprise, Dodrio and Gliscor attacks first. HOW? I literally did the calculation and there is absolutely NO WAY I'm outsped by those two Pokémon unless there's an extremely obscure mechanic that I'm not aware of. (or something that's specific to Pokémon Unbound but I wouldn't know because this is my first time playing) Yeah, I know I could just train some more Pokémon to beat it, but before I do, I need answers as to how this is happening. Note (in case it's something important): My Sneasel is holding Quick Claw, and there is a Stealth Rock set up by Minior before I face Gliscor or Dodrio.",team_building,
3DS trading. Is there any way to trade or battle with other people if I play from a 3DS? I went to the 2nd floor at a pokemon center and it asked me for a link wire (english is not my native lenguage so I don't know if that's how it is said),help_request,
"am i cooking anything with this? pretty new to team building in console games. i put together a smeargle team for the memes, but it’s actually been performing pretty well (battle frontier single 3v3). team is: Smeargle: •Nature: Timid •EVs: 252 HP/252 Speed/6 Def •Item: Focus Sash •Ability: Moody •Moves: •Spore •Substitute •Quiver Dance •Baton Pass 2. Alakazam: •Nature: Timid •EVs: 252 Speed/252 Sp Attack/6 HP •Item: Alakazite •Ability: Magic Guard •Moves: •Psychic •Shadow Ball •Energy Ball •Focus Blast 3. Piloswine: •Nature: Brave (with 0 Speed IVs) •EVs: 252 HP/252 Def/6 Attack •Item: Eviolite •Ability: Thick Fat •Moves: •Avalanche •Earthquake •Toxic •Protect only weak link so far appears to be the piloswine. despite the eviolite and the hp/def evs, it’s consistently getting 2-shot by the things it’s supposed to cover (especially the grasses), which doesn’t work all that well with the brave/0 Speed avalanche build i’m going for. i was thinking switching focus blast for hidden power fire on alakazam, but then i don’t have cover for the darks, which is even scarier. any suggestions on how i can improve the team are welcome. cheers!",team_building,
Summary to See if its shiny? I want a shiny chimchar and asked myself if i have to Go to summary to See if its shiny or would it be shiny aswell in the Little preview window Where also the nature Stands below?,achievements,
Pokemon Unbound Remake/Revamp? Yeah I loved the 2.0 Update too! Seriously IDK why anyone would try to remake a game that isn't even finished yet lmao-,discussion,
"Must haves for the game. Tell me ur must have mons for your team in this game, I'm 4 badges into this game and I have enjoyed it but I'm struggling to find a team that doesn't struggle.",team_building,"Could be discussion, the User is in a casual tone but the main purpose is to ask for some pokemon recommendations"
Has anyone experienced this when evolving Sliggoo? My sliggoo is over level 50 it was raining and I used a rare candy on it. It started to evolve but during the process it just stops and says it stopped evolving. What does it mean??,help_request,
"Best Underrated Mon for Expert. Restarting NewGame+ on Expert (first playthrough on difficult). I love using Pokemon I either haven’t used before, those that are underrated, or both. Anyone have someone they didn’t expect that ended up being their favorite? I’m not talking mega Charizard and mewtwo, I’m talking “I used Amoongus and it was my MVP”",discussion,Could be team_building but the User is asking others of their opinion.
"Level scaling. Hello all, I am currently in the middle of my first playthrough I started on vanilla but changed to difficult as I was going through and I'm the kind of person that likes to level up a bunch of different mons. I think I joined this sub right after I started playing it and have seen people post about turning off the shared XP but by that point the level of certain encounters was already super high so I just kind of accepted it. I didn't feel like restarting with the proper XP setting. Anyway I've been using one of the XP houses to grind out experience to level stuff and I would just use one max level mon and five that I wanted to level up. The level of the enemies in the XP house was level 91 - 95 i think. As my mons leveled up, past 91, the enemies seems to lower their level. I'm pretty sure that they were 94 for this specific enemy and over the last three levels of the five that I was leveling the enemy has decreased level to 91. Can anyone tell me why this is happening and would that also be true for the part of the game I was stuck at before. It's been a couple weeks because I've been busy with work and stuff but I think I was stuck at this great desert and then I got to this house where the shadow guys which I think were people that were like mind-controlled he kept throwing a bone at me and one tapping all of my team. So I leveled up a bunch of fairy type. Anyways my point was I was just curious about their level decreasing if anyone knows.",help_request,
"Vanilla Adventure Completed! End game questions… First time beating the elite four with a ragtag team, the final fight was the most difficult by far. I’m traditionally a very casual player, but practice with EV training and DexNav features make me want to take a deeper dive into the game. Might begin NG+ at the Difficult level with this team (except maybe the prize shiny Gyrados if I can swap its ability into Moxie). MVPs were: Moxie Gyrados w/ Waterfall and a Drought Typhlosion incinerating everything. Wasn’t too impressed with Beldum as my starter so I may swap over to Larvitar. Any items in the BF I should farm before going to NG+? Or any other essential things like quests? I feel like there’s still so much to explore or do.",help_request,Could be achievements but the User is asking suggestions on what to do before going into a New Game + mode.
Can't decide the rest of my team for ng+.Can't decide what else I want on my team or if I even want cacturne and mamoswine. Ribombee is an awesome lead with webs and hard hitting moon blasts. Slowbro was a favorite of mine in sword. It's quick draw+ quick claw helped alot!,team_building,
"What's Your Unbound 2 Plot? I know Unbound already has a great and complete story, and I'm not saying it needs a sequel. But just for fun: if Unbound 2 existed and continued the story of the same protagonist, what would your plot be? What would happen next? Which characters would return? What unfinished threads would you explore, and what would be the main conflict?",discussion,
"Finally! 50streak NO SAVESTATES standard 3 slots. choice scarf dracovish. fishious rend, psychicfangs, ice fang, leechfang mega swampert liquidation icepunch earthquake powerup hit damprock peliper hurricane icebeam weatherball quick atack megaswampert changing to eletric predict its the best, and revenge killing with powerup hit for attack boost, and dracovish, outspeeds and instakills almost anything",achievements,Could be team_building because the User is saying their pokemon build but the main purpose of this pose is to show that the User accomplish a 50 win streak.
"Randomizer - Deoxys Abilities. So I decided to try a ng+ randomizer, and was blown away to see Deoxys on Route 3 with the Protean hidden ability! So I naturally shiny hunted it with the DexNav. When I got to Crater Town and changed him to Attack Form, his ability changed and now gets Overcoat or Arena Trap, which are pretty meh compared to Protean. What would be stronger in this case? I don’t know how to run the numbers to see what’s stronger in the end, the higher SpA or Protean STAB for non-psychic moves. I was planning on teaching him Ice Beam, Shadow Sneak, Psychic, and Thunder/Meteor Mash (the Rock one)/Incinerate. What would you do? And what would be strongest for an Expert playthrough? I think sticking to Normal Form with Protean would give the most versatility and be better for most the playthrough.",team_building,Could be help_request but the User is asking for a recommendation build for a certain pokemon.
"Did i miss all the HMs? I see lots of cut trees, dig doors and rocks that i need an hm for. Im at blizzard city cave. Did i miss anything?",help_request,
"Obligatory HOF Post! First time playing Pokémon Unbound, and I can definitely see why it’s considered one of the best ROM hacks. Loved this game from start to finish.",achievements,
"How to Level Fast, Randomizer. I am doing a randomizer soul link nuzlock. Given the difficulty of my challenge, my friend and I chose the medium difficulty, however, now I learned that if we did expert, we could have access to sandbox mode. The issue: we have almost wiped 2 times now, and the grind to get back to level cap is not only annoying and time consuming, but risky given it is a randomizer. Neither of us have encountered a mon randomized to a blissey. We can’t do dresco town trainers because the blissey is randomized. Given that unbound has big anti-cheat measures, I feel stuck in finding a way to grind that isn’t miserable or risking genning in rare candies and having our 7hr save file corrupt. Any recommendations?",help_request,
"First run!! My first ever rom, what an amazing game. I used most of my favorite mons (save seismatoad) I love the freedom with teambuilding and all the creative things I could pull off super excited for the post game content.",achievements,
"YAYY I did it. Was a lot easier than I remembered, thanks Pokemon Showdown",achievements,
First time Champion! First time beating the elite four. This game is quickly becoming my favorite Pokemon game.,achievements,
Need help updating my game. So I noticed after playing for like 15hrs of course.. that my game is on v1.2. I'm using myboy! on my pixel phone. What's the best/easiest way to keep my current saves but update the game to the most recent version? Is it even possible?,help_request,
"SHINY ENTEI. Wasn't hunting for it and I don't even have the Shiny Charm. Just ran into Entei for the first time, and this happened.",achievements,
"Third Time's The Charm (An Unbound Nuzlocke). So for those of you who're new here, hi! I've done this before. Granted, I've never attempted this in the completed 2.1.1.1 update, but all the same, I've attempted this Nuzlocke twice in the past. Both attempts are documented on my account, with some even being, perhaps, decent quality posts! Both attempts were performed on the Difficult in-game difficulty, both followed the same rules (detailed below, as this run will follow them as well), and both ended in unfortunate fashions; the first run died at the hands of Marlon atop Crystal Peak, the second died due to a corrupted save file at the steps of the Elite Four. Frankly, when my save file got corrupted just before the Elite Four, I gave up. I figured that was divine intervention trying to tell me to step away. It's been about 3 years, and I've got some free time right now, so I'm going back in. This is my third and final attempt at nuzlocking Pokémon Unbound! This is for all the marbles; this is to set the record straight; this is to prove, once and for all, that it can be done, and that I can do it. The rules are as follows: I can only catch/obtain 1 Pokémon per route, and it must be the first Pokémon I encounter. Everyone gets nicknames! Suggestions are welcome! If a Pokémon faints, it's placed in a PC box titled ""Grave"" and cannot be used for the remainder of the run. No over-leveling the game's hard level caps for capped EXP share. No using items in battle except held items. The battle mode will remain on Set for the entire run. Dupes Clause: I cannot catch the same species or evolution line as a Pokémon I already have, and must instead reroll the encounter. If no unique encounters exist on a route....sucks to be me! Shiny Clause: I can catch any shiny Pokémon I find, but cannot use it unless I already possess and choose to replace a non-shiny version of it. So a shiny Aron can only be used if I already have an Aron, and using the shiny would make me retire the non-shiny to the ""Grave"" box. If I white out, I reset the run and try again! We don't quit until the Elite Four is done! Difficult is set to Difficult for the whole attempt. I plan to update on my progress every Tuesday following this post. I hope y'all stick around to check in on the journey! The starter at the beginning of this run is Larvitar. That's right: I chose hard mode. Let's do this! Thanks to Maxlabbe and Ajsansr201121 for their encouragement and advice in previous attempts. I strive to make this a finale you can enjoy.",discussion,"Could be achievement but the User is saying that they plan to do a challenge, not showcasing their achivements."
First Time Playing; Why Are the Starter Pokémon so Hard to Choose From? I like and want all three,discussion,Could be help_request but the User is giving out their opinion on wanting all of the three starters.
"Best Pokemon for Breeding early game that can carry through E4?. I’m pre gym 3, and I’m wondering who is catchable early but can be bred to be an absolute monster late in the game. Like a Luxray with fire fang sounds sweet, but no idea how to get fire fang on him. I’m very new to unbound and hacks in general, still learning. Thanks!",team_building,"Could be help_request because the User is talking about Breeding Pokemons, a Gameplay Mechanic, but the main purpose is to ask what pokemon to breed for the Elite Four."
"Aklove vivill warehouse insane (flying monotype).I was hitting my head against a wall trying to win this Easily took 50 attempts, then I swapped out corviknight for yanmega and speed boost went crazy Lead crobat (wide lens) hypnosis (Aklove auto switches to manphy) Venoshock until many wakes up and tail glows, hypnosis again Aklove switches to gardevoir, venoshock hits it mid switch, outspeed with another venoshock to get gardevoir 10hp (could kill in 2 hits with max spa on crobat, but mine has some EVs in spd from early game) Aklove switches to registeel, I switch to gliscor (leftovers) to nullify thunder wave, setup stealth rock+knock off, and start fire fanging (got some rng with a burn but it was on the last hit) Gliscor dies and I send out yanmega, detect for speed boost, 2x air slash tapu, signal beam hoopa, air slash rimobee (shoutout stealth rock), sleeping manphy comes out and gets air slashed, gardevoir comes out and auto dies to stealth rock This one felt really good to overcome, manphy and registeel were giving me problems for so long, didn’t even need Murkrow who is usually the unsung heroine",team_building,"Could be achievement but the User is talking about the Team, Strategy, and Pokemons they used to defeat an enemy."
"Dfficult or Expert? I played on difficult until the town of the fourth gym, but did it with cheating myself into sandbox mode to pump up IVs and redistribute EVs. I now started fresh since the cheating did take something from the raw gameplay experience for me, especially because the game gives you all the tools to breed good mons by the third gym (dex-nav, daycare, Ditto). So, I'll be breeding good IV and ability Pokemon for my team because I'm a perfectionist and can't stand knowing I have bad IVs on a Pokemon if I could have good ones too. No idea for a team comp yet and I don't want to preplan one. I think I'll just breed myself a food one from every promising species I come across. Question is: do I stay on difficult or do I go up a notch into expert difficulty because my Pokemon will be overkill otherwise? I managed the first three gyms within 1-2 attempts going in blind. I do enjoy it when gym fights are a tough nut to crack, taking a couple of attempts, but I don't want the fight to be so difficult there's only one solution I need to find. I'm fine with looking up their roster and move sets, I don't want to have to look up strategies or take 15+ attempts. Now that I'm making a question post already: what methods are there to manage EVs? Can I redistribute them somehow, without sandbox mode, or will I have to use the dex nav to grind against specific Pokemon and just accept a wonky spread on my starter? Upvote 3 Downvote 10 Go to comments",help_request,"Could be discussion but the User is asking about what to do next, a Gameplay Advice."
"If you don't know what to do next, you may wanna go collect 100 cells. (Difficult). I wasn't sure which team to build after beating the Elite 4. Then, I decided to collect all 100 Zygarde cells. Along the way, I discovered so many new places and missions that let you catch some legendaries. After finally completing the 100-cell quest, this is my current team. Hope you guys like it!",discussion,"Could be team_building but the User is describing their experience in the game, collecting all of the 100 Zygarde cells."
"??? So I am currently in Battle Tower doing single battle My first opponent had a Smeargle which had the ability Trace in this version, I sent out Thundurus (Incarnate) which has Prankster ability obviously Trace ability copies Thundurus Prankster which leading to Prankster Smeargle. But for some reason Smeargle outsped my Thundurus since I was planning to taunt it as I know it will use spore on me. I failed as seen in the video Smeargle attacked first If I remember correctly prankster vs prankster will depend which Pokemon has higher base speed stat since I am able to taunt Pokemon like Prankster Klefki Thundurus speed is significantly higher than Smeargle, and Smeargle does not have any choice items since it holds Focus Sash after I sent my second Pokemon it lived a 1 hit KO I also believe Trace only copies abilities and not the stats of a Pokemon unless in this version is different",help_request,
"Questions for my Nuzlocke homies. I clearly hate myself and honestly love the Expert difficulty of this game, but for me it's only possible to make several attempts with the sandbox mode. Of course, move tutors, TMs/HMs, and skill/IV swap i wait to reach the point or fulfill the Vanilla requirements. The question is, am I being lazy? Do you guys usually play by sheer grit, or is it really a lot of work to farm money and EVs manually at the beginning of the game? How do you do it, friends?",discussion,Could be help_request but the User is asking others of their opinions.
"I am at the e4 and been struggling. I have been struggling for a while,whilst vanilla feels too easy difficult feels too hard. So I've been wondering if there will be any problem if i change my difficulty.(i know about the level scaling but what exactly changes from difficult to vanilla).(my team is level 75)",help_request,
Metagross in scalemons. I just want to ask a question if anybody would like to answer. Scalemons is a metagame or gamemode that makes almost any pokemon viable now by making their base stat total close to six hundred bst. When i search metagross in the unbound dex its stats from regular to mega makes me want to ask is it still worth it to use mega metagross despite the nerf to its stats since its bst exceeds 600 bst making it look worse than base metagross. Just wanted to ask if its still worth it for unbound competitive or not?,team_building,"Could be help_request but the User is asking for a specific pokemon information, in which how well they would go in a gamemode."
Moving files. Anyway I can move my unbound files on pc to an emulator on my phone? Going for a vacation and would like to continue catching them all. :),help_request,
"Game crashing help. Early on in my run in the ice cave and I can't take 5 steps without my game crashing or running into a weird decamark bug. Is there anyway to save this? Some details: No cheats Retroarch mgba Using in game save, no save states Unbound version 2.1.1.1",help_request,
"What happens to the 3rd starter in this game? Hey, I'm a new fan and I got a question I wanna ask. So is more of a question than a discussion post. But anyways, we know we get 3 pseudo legendaries for starter options and the rival chooses another. And usually the third stays with a professor in Pokémon games. But like...the 3rd just became disheartened and left...not gonna lie, that kinda almost made me cry. I dunno, the thought of a small prisoned Pokémon becoming rescued and wanting to come with us but not being able to because no one chose him or her so they just left was saddening...huh? Guess my morality is still alive. Thought I buried it a long time ago.",help_request,Could be discussion but the User is asking about a specific gameplay event.
